locality;n
0000000GRL;55992
9550100NAN; 1196
9550102APL;  103
9550103NKJ;   62
9550104TAQ;   44
9550106AMS;   36
9550107ALS;    0
9550108ALP;  194
9550109NAL;    0
9550114QRS;    4
9550118QAL;    8
9550123QUN;    0
9550124NIN;    0
9550125NRN;    0
9550126AKR;    0
9550127NLS;    0
9550128ICE;    0
95501fTAQ;   12
9550200QAQ; 3012
9550201SAL;   23
9550202EQA;   50
9550203UPS;   14
9550204QSM;   18
9550210QRQ;    0
9550216EQT;    0
9550217TAT;    0
9550222AKQ;    0
9550225QTQ;    0
9550226ARP;    0
95502fEQA;   29
95502fQAQ;    8
9550300NAR; 1374
9550301IGK;    8
9550302IGA;   24
9550305QSK;   37
9550321NRS;  124
9550331ITE;    0
9550336QKA;    0
9550339QIM;    0
9550347ITK;    0
9550348IKQ;    0
9550350AGO;    0
95503fIGA;    9
95503fNAR;   11
95503fQSK;   42
9560400IVI;    0
9560401KNL;    3
9560500PAA; 1334
9560501ARS;   83
9560503NIK;    0
9560506AVI;    0
9560600NUK;17984
9560601QTT;  184
9560602KSS;    0
9560604ITN;    0
9560605KAP;   50
9560608KGQ;    0
9560609QRN;    0
9560612QQQ;    0
95606fKAP;    3
9561800TAS; 2063
9561801TIM;    0
9561802SML;  223
9561803ISO;   58
9561804KUL;  241
9561805TIN;  106
9561806KUM;  258
9561809ORG;    0
9561810IKT;    0
9561811QNS;    0
9561820PKT;    0
9561822IVK;    0
9561823NLK;    0
9561824UVK;    0
9561900ILT;  355
9561901UUN;    0
9561902ITR;    0
9561906NRI;    1
9570700MAN; 2582
9570701ATA;  201
9570702NAP;   89
9570703KAM;  304
9570800SIS; 5509
9570801ITI;   72
9570803SFN;  114
9570820KAN;  538
9590900KAT;  561
9590902ATT;  202
9590905IGF;   90
9590906NQK;  263
9590908IKS;  101
9590910TUN;    0
9590911QES;    0
9591000AAS; 3212
9591003AKU;   67
9591004KIT;   59
9591100QAS; 1075
9591101IKA;   86
9591400QEQ;  854
9591403KLK;   17
9601200ILU; 4554
9601201OQA;   30
9601202QQT;  103
9601203SQQ;  134
9601204ILQ;   52
9601500UUM; 1364
9601501NIA;   41
9601502QST;  172
9601503IKE;  237
9601504SAA;  240
9601505UKK;  154
9601506ILL;    0
9601507NUG;    4
9601508MAM;    0
9601600UPV; 1073
9601601UPK;  197
9601602KAQ;  151
9601603AAP;  152
9601604TUS;    0
9601605TSS;  258
9601606NUS;  175
9601607KLQ;  422
9601608NAJ;   48
9601609INN;  163
9601610NUT;   45
9601611IKK;    2
9601700QNQ;  621
9601701SAV;   61
9601703QTS;    0
9601704SIO;   43
9601706MOR;    0
9601707QET;   26
9612069DUN;    0
9612070PIT;   73
96120sSIR;    1
96120uSDI;   12
9612104QUQ;    0
9612105TIT;    0
